Reference, Value, Footprint, Datasheet
U1,AD8232ACPZ-R7,Housings_DFN_QFN:QFN-20-1EP_4x4mm_Pitch0.5mm,
SW1,SW_DIP_x01,Buttons_Switches_THT:SW_DIP_x1_W7.62mm_Slide,
C4,.33u,Resistors_SMD:R_0603,
C3,10n,Resistors_SMD:R_0603,
R9,10M,Resistors_SMD:R_0603,
R7,1.4M,Resistors_SMD:R_0603,
R10,10M,Resistors_SMD:R_0603,
C2,.33u,Resistors_SMD:R_0603,
R8,100k,Resistors_SMD:R_0603,
R13,1M,Resistors_SMD:R_0603,
C6,.5n,Resistors_SMD:R_0603,
R12,1M,Resistors_SMD:R_0603,
R11,1M,Resistors_SMD:R_0603,
R6,10M,Resistors_SMD:R_0603,
C5,.1u,Resistors_SMD:R_0603,
C1,.1u,Resistors_SMD:R_0603,
R1,10M,Resistors_SMD:R_0603,
R14,10k,Resistors_SMD:R_0603,
R2,10M,Resistors_SMD:R_0603,
R4,10M,Resistors_SMD:R_0603,
R15,300k,Resistors_SMD:R_0603,
R3,180k,Resistors_SMD:R_0603,
R5,180k,Resistors_SMD:R_0603,
C7,1n,Resistors_SMD:R_0603,
Q1,3SK263,TO_SOT_Packages_SMD:SOT-143,http://www.onsemi.com/pub_link/Collateral/EN4423-D.PDF
C8,200p,Resistors_SMD:R_0603,
R16,1k,Resistors_SMD:R_0603,
D1,LED_ALT,LEDs:LED_0805,
J3,L,,
J4,R,,
J8,D,,
J9,Coil0,,
J10,Coil1,,
J5,Gnd,Measurement_Points:Measurement_Point_Square-SMD-Pad_Big,
J7,Vdd,Measurement_Points:Measurement_Point_Square-SMD-Pad_Big,
J6,Out,Measurement_Points:Measurement_Point_Square-SMD-Pad_Big,
J1,L,Measurement_Points:Measurement_Point_Square-SMD-Pad_Big,
J2,R,Measurement_Points:Measurement_Point_Square-SMD-Pad_Big,
J11,D,Measurement_Points:Measurement_Point_Square-SMD-Pad_Big,
BT1,Battery_Cell,Connectors:CR2032V,
J12,SDN,Measurement_Points:Measurement_Point_Square-SMD-Pad_Big,
J13,LO+,Measurement_Points:Measurement_Point_Square-SMD-Pad_Big,
J14,LO-,Measurement_Points:Measurement_Point_Square-SMD-Pad_Big,
